trait_group,n,spearman_rho,spearman_p,perm_p,fdr_q,significant,ci_lower,ci_upper
UA,19,0.6572670926904335,0.002229265490605484,0.001999800019998,0.07349265073492652,True,0.2649971838212189,0.8752723469255873
PP,23,0.5958413516438595,0.0026985254957958595,0.004899510048995101,0.07349265073492652,True,0.23909333606733268,0.8349549054990989
LOY,16,0.5180847080409557,0.03980464637194975,0.0385961403859614,0.21710328967103287,False,0.09047985247471652,0.7988468272725967
BMI,17,0.4576572921494856,0.06471609877297495,0.06239376062393761,0.23397660233976603,False,-0.06185863646992241,0.8501654570637145
SHBG,37,0.3707354856681069,0.02389163074400536,0.024797520247975203,0.21710328967103287,False,0.03858374623601854,0.6427667333849567
Balding_Type4,15,0.3658645510400401,0.1798814580267545,0.1810818918108189,0.4793344194992265,False,-0.22345855613177476,0.801099454758481
Hb,34,0.3356595616708969,0.05229106966790114,0.0491950804919508,0.23397660233976603,False,-0.05828556851994999,0.6727237860897968
BW,27,0.3342568327079023,0.08836709901322226,0.09219078092190781,0.3172182781721828,False,-0.1392168910110964,0.6600879233012596
Alb,20,0.3286779344263301,0.15709271455459609,0.15528447155284472,0.4658534146585342,False,-0.09861494790310163,0.7328900814383245
Height,77,0.32375791288584616,0.004075091621171343,0.0035996400359964,0.07349265073492652,True,0.11377805300701978,0.5071318126166388
eGFR,28,0.318254705136115,0.09884040517087858,0.09869013098690131,0.3172182781721828,False,-0.12051528196290764,0.6503756355140978
HbA1c,47,0.3081615382768379,0.03508760790194399,0.0357964203579642,0.21710328967103287,False,0.0012410718450317226,0.5682362238403292
RBC,49,0.27820594897056933,0.05292039992872169,0.053394660533946606,0.23397660233976603,False,-0.02538835443299799,0.5506295531529354
Plt,67,0.2603208014361697,0.033374557704560825,0.030096990300969902,0.21710328967103287,False,-0.022322837204709095,0.47431542644005337
TC,22,0.2589236448022603,0.24460835956807042,0.23627637236276372,0.5596019345433878,False,-0.21805281003637578,0.6489881782594547
Mono,65,0.2576871086198664,0.038231091396140726,0.035396460353964605,0.21710328967103287,False,0.01548939583137476,0.48470925378406654
Ht,24,0.24092194524741514,0.2567658195646169,0.2592740725927407,0.582370334395132,False,-0.25528656126482213,0.6450886124805789
Eosino,41,0.215806994409789,0.17537420519497793,0.17578242175782421,0.4793344194992265,False,-0.10598692534486155,0.510238783089755
TP,32,0.19915519178409846,0.274498454628018,0.27177282271772824,0.582370334395132,False,-0.16781024634465208,0.5185823449605567
CRP,31,0.16496228183333742,0.37517320775442065,0.37596240375962403,0.6905909409059093,False,-0.25660320741226467,0.5532270579261603
WHRadjBMI,23,0.15908833155315077,0.4684209288182061,0.46555344465553444,0.7880640507377834,False,-0.3075687472269677,0.5218490519473413
Neutro,33,0.156725016655443,0.3837528513414863,0.38366163383661633,0.6905909409059093,False,-0.23546681427271288,0.5257328191619832
MCV,66,0.12572190213639778,0.31448649375491133,0.3093690630936906,0.6135038670046039,False,-0.14214240862662725,0.36990280284101873
TG,34,0.12412016364578952,0.4843148800611158,0.48475152484751527,0.7880640507377834,False,-0.3050138347987493,0.48938099957067316
MCHC,17,0.12299284968140026,0.6381562006444984,0.6298370162983702,0.8644135586441355,False,-0.3617012573462737,0.6310933337124991
HDLC,39,0.11681170777284341,0.4788305547971099,0.49035096490350966,0.7880640507377834,False,-0.23137257009912132,0.4113771012820727
DBP,19,0.10813212928936088,0.6594777176760629,0.6554344565543445,0.8644135586441355,False,-0.4447190410530716,0.6616769594072661
FEV1FVC,29,0.08161957687486462,0.673824881622823,0.6762323767623237,0.8644135586441355,False,-0.32524515984034696,0.44254474165328234
WBC,34,0.061748505178988194,0.7286541456253194,0.7305269473052695,0.8650977007562402,False,-0.3517788975854606,0.45179952293699077
Lym,45,0.05939900718062353,0.6983191398251434,0.6875312468753124,0.8644135586441355,False,-0.267516276286111,0.383160477036957
MCH,64,0.0500972073366965,0.6942266703328708,0.6915308469153084,0.8644135586441355,False,-0.19687313612772275,0.2956037305707184
ALT,23,0.002474025486748572,0.9910612408265407,0.9924007599240076,0.9924007599240076,False,-0.4518686703681781,0.4282686540204291
AG,40,-0.007530163713850015,0.9632183109196069,0.9667033296670333,0.9886738598867386,False,-0.3201749531663596,0.2938884813740628
eGFRcys,39,-0.011851104964466872,0.942916578790359,0.9413058694130587,0.9850875377578521,False,-0.3631271032586639,0.32813689624885173
IGF1,35,-0.01645003508524401,0.9252747548995579,0.9224077592240776,0.9850875377578521,False,-0.3573988412858453,0.3457926862451335
ALP,38,-0.031109488428907588,0.85290720227905,0.8545145485451455,0.9378818215739402,False,-0.33626478617560795,0.2889892649537376
MAP,16,-0.06994543281683799,0.7968692352930592,0.7935206479352065,0.8927107289271073,False,-0.548073532224647,0.46435340117700113
Urea,17,-0.07201108422374329,0.7835851762617354,0.785921407859214,0.8927107289271073,False,-0.641532328570165,0.4878788455374134
LDLC,30,-0.08520748334711056,0.6543801960703959,0.6473352664733527,0.8644135586441355,False,-0.48486308735537453,0.3344487001906593
ApoA,25,-0.08914996548599358,0.6717301645574427,0.6745325467453255,0.8644135586441355,False,-0.5158620469909188,0.3504392856788057
ApoB,16,-0.09859315671356374,0.7164039635605851,0.710928907109289,0.8646432654031894,False,-0.6309130958767807,0.5187798749370515
GGT,36,-0.11201486481103429,0.5154197602190813,0.5162483751624838,0.8010750649073024,False,-0.4584555675278563,0.2183502267203348
eBMD,67,-0.14703441551734517,0.23509134218267952,0.22947705229477053,0.5596019345433878,False,-0.39924708426534866,0.10925609921674999
AST,15,-0.27932061350627235,0.31335532231763535,0.31356864313568644,0.6135038670046039,False,-0.6233177178698278,0.2615512591017384
Ca,22,-0.40948717393837647,0.05842403486155749,0.0580941905809419,0.23397660233976603,False,-0.7169940396787736,0.01674467605396159
